category,image_id,image_filename,caption_quality,specificity,cultural_entity_missed,template_bias,object_hallucination,wrong_object_or_action,language_issue,expected_cultural_terms,predicted_cultural_terms,auto_reference_terms,auto_prediction_terms,vig_prediction,references,annotation_note
cultural_success,331,00000000331.jpg,correct,specific,False,False,False,False,False,xích_lô,xích_lô,xích_lô,xích_lô,có một_vài chiếc xích_lô đang di_chuyển ở trên đường,có những chiếc xích_lô đang di_chuyển trên phố ||| có những chiếc xích_lô đang đi nối_đuôi nhau trên phố ||| có những chiếc mặt_nạ được treo ở trên bức tường ||| ở trên bức tường có những chiếc mặt_nạ đang được treo ||| ở trên phố có những chiếc xích_lô di_chuyển nối_đuôi nhau,"Prediction đã nhắc đúng marker văn hóa `xích_lô`, nhưng còn khái quát và bỏ sót các chi tiết như đoàn xe nối đuôi nhau trên phố và `mặt_nạ` treo trong reference."
cultural_success,1335,00000001335.jpg,correct,specific,False,False,False,False,False,xích_lô,xích_lô,xích_lô,xích_lô,có một_vài chiếc xích_lô đang di_chuyển ở trên đường,có những chiếc mặt_nạ được treo ở trên bức tường ||| có những cái mặt_nạ treo trên một bức tường ||| những chiếc xích_lô đang di_chuyển nối_tiếp nhau trên đường ||| ở trên đường có những chiếc xích_lô đang di_chuyển ||| ở trên đường có sự xuất_hiện của những chiếc xích_lô,"Prediction đã nhắc đúng marker văn hóa `xích_lô`, nhưng còn khái quát và bỏ sót các chi tiết như đoàn xe nối đuôi nhau trên phố và `mặt_nạ` treo trong reference."
cultural_success,381,00000000381.jpg,correct,specific,False,False,False,False,False,chợ,chợ,chợ,chợ,có nhiều người đang ngồi ở trong khu chợ,có nhiều người đang xuất_hiện ở trong khu chợ ||| có nhiều người đang mua_bán hàng_hoá trong chợ ||| có nhiều người đang trao_đổi hàng_hoá bên trong chợ ||| ở bên trong chợ có nhiều người đang trao_đổi hàng_hoá ||| đây là khung_cảnh xuất_hiện ở bên trong một khu chợ,"Prediction đúng bối cảnh khu chợ và nhiều người, nhưng còn chung chung vì bỏ sót hàng hoá và hoạt động trao đổi/mua bán được nhấn mạnh trong reference."
cultural_success,4467,00000004467.jpg,correct,specific,False,False,False,False,False,chợ,chợ,,chợ,có nhiều mặt_hàng quần_áo được bày_bán ở trong khu chợ,ở hai bên lối đi là những cửa_hàng quần_áo ||| ở hai bên lối đi có sự xuất_hiện của những cửa_hàng quần_áo ||| có những cửa_hàng quần_áo ở hai bên lối đi ||| ở hai bên lối đi có nhiều cửa_hàng quần_áo ||| có hai người phụ_nữ đang đứng bên một hàng quần_áo,"ViG mô tả đúng một số chi tiết như quần_áo; bỏ sót/giảm nhẹ các chi tiết hai, lối, cửa_hàng và hàng; sinh thêm cultural term chợ phù hợp với ảnh"
cultural_success,11027,00000011027.jpg,partial,specific,False,False,False,False,False,áo_dài,áo_dài,áo_dài,áo_dài,có một cô gái mặc áo_dài đang tạo_dáng chụp ảnh,có một nhóm những cô gái đang đứng thành hàng ||| có một nhóm những cô gái đang mặc áo_dài trắng ||| nhóm cô gái mặc áo_dài trắng đang đứng trong vườn hoa ||| ở trong vườn hoa có những cô gái mặc áo_dài trắng ||| ở trong vườn hoa có những cô gái đang đứng thành hàng,"ViG mô tả đúng cultural term áo_dài; bỏ sót/giảm nhẹ các chi tiết nhóm, trắng, vườn, hoa và thành; lệch sang các chi tiết tạo_dáng và chụp."
cultural_success,8660,00000008660.jpg,correct,specific,False,False,False,False,False,đèn_lồng,đèn_lồng,đèn_lồng,đèn_lồng,có những chiếc đèn_lồng được treo ở trên trần nhà,có những giàn cây_hoa_màu tím xuất_hiện ở trước những ngôi nhà bên đường ||| có những bộ quần_áo xuất_hiện ở trong ngôi nhà bên trái ||| ngôi nhà ở phía bên trái bán các loại trang_phục ||| có những chiếc đèn_lồng được treo phía trước những ngôi nhà trên phố ||| ở phía trước của những ngôi nhà có treo những chiếc đèn_lồng,"ViG mô tả đúng cultural term đèn_lồng; bỏ sót/giảm nhẹ các chi tiết ngôi, trái, giàn, cây_hoa_màu và tím; lệch sang các chi tiết trần."
cultural_success,403,00000000403.jpg,correct,specific,False,False,False,False,False,nón_lá,nón_lá,nón_lá,nón_lá,có một cô gái đội nón lá đang đứng ở trên sông,có một cô gái đội nón lá đang đứng trên cây cầu ||| có một cô gái mặc váy cam đang đội nón lá trên đầu ||| ở trên đầu của cô gái mặc váy cam là chiếc nón lá ||| có một cây cầu bắc ngang qua sông xuất_hiện ở phía xa_xa khung hình ||| có một cây cầu cũ bắc ngang qua con sông,"Prediction đã nhắc đúng marker văn hóa `nón_lá`, nhưng bỏ sót các chi tiết cây, cầu và váy cam; đồng thời thêm bối cảnh “trên sông”."
cultural_success,1899,00000001899.jpg,correct,specific,False,False,False,False,False,toà_thành_cổ;thành_cổ,toà_thành_cổ;thành_cổ,toà_thành_cổ;thành_cổ,toà_thành_cổ;thành_cổ,có một toà thành cổ xuất_hiện ở trong bức ảnh,có một cái hồ ở gần với toà thành cổ ||| có một cái hồ xuất_hiện gần khu_vực có toà thành cổ ||| ở gần toà thành cổ là một cái hồ nước ||| ở một bên toà thành cổ có một cái hồ nước ||| có một cái hồ nước ở gần toà thành cổ,"ViG mô tả đúng cultural term toà_thành_cổ và thành_cổ; bỏ sót/giảm nhẹ các chi tiết hồ, gần, nước và khu_vực."
cultural_success,4688,00000004688.jpg,correct,specific,False,False,False,False,False,xích_lô,xích_lô,xích_lô,xích_lô,ở trên đường có sự xuất_hiện của những chiếc xích_lô,hai người đàn_ông ngồi trên xích_lô đang trao_đổi với nhau ||| hai người đàn_ông trên xích_lô đang nói_chuyện với nhau ||| có hai chiếc xích_lô đang di_chuyển bên cạnh nhau ||| ở trên đường có sự xuất_hiện của hai chiếc xích_lô ||| ở trên đường có hai chiếc xích_lô đang đi cạnh nhau,"ViG mô tả đúng cultural term xích_lô; bỏ sót/giảm nhẹ các chi tiết hai, nhau, cạnh, trao_đổi và nói_chuyện."
cultural_success,7377,00000007377.jpg,correct,specific,False,False,False,False,False,chợ,chợ,chợ,chợ,ở bên trong khu chợ có sự xuất_hiện của nhiều người,có nhiều người đang xuất_hiện ở trong khu chợ ||| đây là khung_cảnh nhìn từ trên cao của một khu chợ ||| khu chợ đang ở trong trạng_thái đông người qua_lại ||| có nhiều người đang đi_lại ở bên trong khu chợ ||| ở trong khu chợ có sự xuất_hiện của nhiều người,"ViG mô tả đúng cultural term chợ; bỏ sót/giảm nhẹ các chi tiết nhìn, cao, trạng_thái, đông và qua_lại."
